Name,Email,Company,Type
John Doe,john.doe@example.com,ABC Corp,Client
Jane Smith,jane.smith@example.com,XYZ Inc,Partner
Michael Johnson,michael@example.com,Tech Solutions,Prospect
Sarah Williams,sarah@example.org,Global Enterprises,Client
Unknown,contact@newcompany.com,New Company LLC,Prospect
Robert Brown,robert@example.net,City Services,Partner
Elizabeth Taylor,elizabeth@example.com,Health Solutions,Client
James Miller,james@example.org,Education Partners,Prospect
Patricia Wilson,patricia@example.com,Manufacturing Inc,Client
Thomas Moore,thomas@example.net,Retail Group,Partner 
